00000000L,00000000S,00000001L,00000001S,00000011L,00000011S,00000111L,00000111S,00001111L,00001111S,00011111L,00011111S,00111111L,00111111S,01111111L,01111111S,11111111L,11111111S
2524,0,962,0,371,0,119,0,21,0,0,0,0,0,0,0,0,0
2540,0,956,0,366,0,116,0,19,0,0,0,0,0,0,0,0,0
2564,0,947,0,359,0,110,0,18,0,0,0,0,0,0,0,0,0
2581,0,940,0,355,0,106,0,17,0,0,0,0,0,0,0,0,0
2597,0,935,0,349,0,100,0,16,0,0,0,0,0,0,0,0,0
2610,0,932,0,345,0,96,0,15,0,0,0,0,0,0,0,0,0
2628,0,925,0,339,0,93,0,14,0,0,0,0,0,0,0,0,0
2647,0,918,0,333,0,87,0,13,0,0,0,0,0,0,0,0,0
2667,0,911,0,326,0,82,0,12,0,0,0,0,0,0,0,0,0
2681,0,905,0,322,0,79,0,11,0,0,0,0,0,0,0,0,0
2695,0,899,0,319,0,75,0,10,0,0,0,0,0,0,0,0,0
2708,0,896,0,313,0,72,0,9,0,0,0,0,0,0,0,0,0
2720,0,891,0,309,0,69,0,8,0,0,0,0,0,0,0,0,0
2733,0,888,0,304,0,66,0,7,0,0,0,0,0,0,0,0,0
2746,0,883,0,298,0,64,0,6,0,0,0,0,0,0,0,0,0
2760,0,878,0,293,0,61,0,5,0,0,0,0,0,0,0,0,0
2776,0,874,0,286,0,58,0,4,0,0,0,0,0,0,0,0,0
2794,0,868,0,277,0,56,0,3,0,0,0,0,0,0,0,0,0
2811,0,858,0,273,0,52,0,2,0,0,0,0,0,0,0,0,0
2827,0,852,0,268,0,50,0,1,0,0,0,0,0,0,0,0,0
2838,0,849,0,262,0,48,0,0,0,0,0,0,0,0,0,0,0
2852,0,842,0,258,0,46,0,0,0,0,0,0,0,0,0,0,0
2868,0,838,0,249,0,44,0,0,0,0,0,0,0,0,0,0,0
2882,0,833,0,242,0,42,0,0,0,0,0,0,0,0,0,0,0
2895,0,827,0,236,0,40,0,0,0,0,0,0,0,0,0,0,0
2909,0,820,0,231,0,38,0,0,0,0,0,0,0,0,0,0,0
2924,0,813,0,225,0,36,0,0,0,0,0,0,0,0,0,0,0
